No,曲名,アーティスト,演奏難易度,エチュード適性,ジャンル定番度,推奨ルート,主スキル,必須スキル,習得スキル,壁,次候補No,次候補曲名,一言説明,練習ポイント,参考動画URL,コメント,技術メモ
112,高嶺の花子さん,back number,3,3,5,邦ロック定番,付点8分ディレイ,コードストローク・テンポキープ,付点8分ディレイ・コードワーク,ディレイとの同期,44,CQCQ,知名度が高く、ライブで使いやすい曲。,ディレイのタイミングをクリックに合わせ、コードの入りをずらさない。,,,
113,大不正解,back number,3,4,4,邦ロック定番,低音単音リフ,単音リフ・ピッキング,低音単音リフ・ロックバッキング,低音リフのノリ,121,イケナイ太陽,バンド映えするback number枠。,低音弦のリフを太く、リズムを前に出して弾く。,,,
114,なんでもねだり,KANA-BOON,2,3,4,邦ロック定番,単音フレーズ,ピッキング,単音フレーズ・邦ロックリフ,単音の粒立ち,115,ないものねだり,KANA-BOONらしい単音フレーズの入口。,単音フレーズのリズムと音価を揃える。,,,
115,ないものねだり,KANA-BOON,3,4,5,邦ロック定番,デジタルディレイ,単音リフ・テンポキープ,単音フレーズ・デジタルディレイ,リフと空間系の同期,116,Re:Re:,新人向け最強格の邦ロック定番。,リフのタイミングとディレイの残り方を意識する。,,,
116,Re:Re:,ASIAN KUNG-FU GENERATION,3,4,4,邦ロック定番,単音フレーズ,ピッキング・単音リフ,単音フレーズ・邦ロックリフ,単音フレーズの安定,117,転がる岩、君に朝が降る,アジカン枠として入れやすい定番。,リフを焦らず、ピッキングと左手のタイミングを合わせる。,,,
117,転がる岩、君に朝が降る,ASIAN KUNG-FU GENERATION,3,3,4,邦ロック定番,コードワーク,コードチェンジ・単音リフ,コードワーク・リード入門,コードとリードの切替,119,若者のすべて,ぼざろ経由でも刺さるアジカン曲。,コードを安定させつつ、リードの入りでリズムを崩さない。,,,
118,天体観測,BUMP OF CHICKEN,2,5,5,邦ロック定番,単音リフ,ピッキング,単音リフ・邦ロック定番,リフの安定,109,サイハテアイニ,ド定番で優先度高め。イントロリフが練習曲としてかなり優秀。,イントロリフを粒立ちよく、曲全体は勢いを落とさず弾く。,,,
119,若者のすべて,フジファブリック,2,2,5,邦ロック定番,コードストローク,ローコード・コードチェンジ,コードストローク・歌伴,歌伴の間,111,花束,エモい定番枠。弾き語りにもバンドにも展開しやすい。,コードを丁寧に鳴らし、歌の邪魔をしない間を作る。,,,
120,チェリボム,SILENT SIREN,4,4,4,邦ロック定番,ブリッジミュート,パワーコード・コードチェンジ,コードワーク・ブリッジミュート,速いブリッジミュート,106,明日も,女子Vo/ポップロック枠。,テンポに置いていかれないよう、右手のミュートを軽く保つ。,,,
121,イケナイ太陽,ORANGE RANGE,3,4,5,邦ロック定番,単音リフ,単音リフ・コードチェンジ,単音リフ・コードワーク・レガート,リフと装飾の切替,126,あつまれ！パーティーピーポー,新人ライブで盛り上がりやすい曲。,イントロやリフを勢いよく弾き、細かい装飾で力まない。,,,
122,MONSTER DANCE,KEYTALK,4,4,4,邦ロック定番,単音リフ,単音リフ・ピッキング,単音リフ・チョーキング,テンポとチョーキング,124,場違いハミングバード,盛り上げ枠。テンポと勢いが重要。,テンポを落として単音リフを確認し、チョーキングの音程を合わせる。,,,
123,勝手にシンドバッド,サザンオールスターズ,4,2,5,邦ロック定番,アンサンブル,コードワーク・テンポキープ,アンサンブル・盛り上げ曲,編成とアンサンブル,,,盛り上がるが編成次第。バンド全体でノリを作る曲。,ギター単体よりも、全体のキメとノリを合わせる。,,,
124,場違いハミングバード,UNISON SQUARE GARDEN,4,4,3,邦ロック定番,単音リフ,単音リフ・ピッキング,単音リフ・邦ロックリフ,リフのノリ,17,Mix Juiceのいうとおり,ユニゾン枠として良い。リフが優秀。,リフの粒とノリを保って、歌の裏でも走らないようにする。,,,
125,innocent world,Mr.Children,3,3,5,邦ロック定番,単音リフ,単音リフ・コードチェンジ,単音リフ・スライド,スライドのニュアンス,119,若者のすべて,J-pop定番として強い。,スライドの入りとリフの歌わせ方を丁寧にする。,,,
126,あつまれ！パーティーピーポー,ヤバイTシャツ屋さん,2,4,4,邦ロック定番,パワーコード,パワーコード・8ビート,パワーコード・盛り上げ曲,勢いとミュート,121,イケナイ太陽,盛り上げ枠。パワーコード中心。,勢いを出しつつ、雑にノイズを出しすぎない。,,,
127,透明水曜日,NOMELON NOLEMON,3,2,2,邦ロック定番,コードワーク,コードチェンジ,コードワーク・透明感ポップ,音量と雰囲気作り,129,1999,透明感ポップ枠。,コードの響きと空気感を崩さないように、音量を抑えて丁寧に弾く。,,,
128,ロマンス,羊文学,2,3,3,邦ロック定番,パワーコード,パワーコード・テンポキープ,パワーコード・雰囲気作り,音価の管理,129,1999,雰囲気系として良い。,シンプルなコードで音価と空気感を作る。,,,
129,1999,羊文学,3,2,3,邦ロック定番,リバーブ,コードワーク・音量コントロール,リバーブ・雰囲気作り,音作りと余韻,127,透明水曜日,ギター希望にも合う雰囲気系。,弾きすぎず、リバーブの余韻を活かして空間を作る。,,,
